Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 4: data types,122,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,90%,100%
Master the tidyverse - session 4: data types,52,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,1:55 pm GMT,4:33 pm GMT,157.0 mins,93%,100%
Master the tidyverse - session 4: data types,5,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,90%,100%
Master the tidyverse - session 4: data types,5,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,1:58 pm GMT,1:58 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 4: data types,71,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,3:50 pm GMT,4:33 pm GMT,42.0 mins,25%,100%
Master the tidyverse - session 4: data types,71,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Panelist,Yes,No,Yes,2:05 pm GMT,2:58 pm GMT,52.0 mins,31%,100%
Master the tidyverse - session 4: data types,7,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:10 pm GMT,4:36 pm GMT,145.0 mins,6%,7%
Master the tidyverse - session 4: data types,37,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:33 pm GMT,4:36 pm GMT,123.0 mins,6%,8%
Master the tidyverse - session 4: data types,37,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:29 pm GMT,2:32 pm GMT,3.0 mins,1%,48%
Master the tidyverse - session 4: data types,37,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:07 pm GMT,2:32 pm GMT,25.0 mins,4%,26%
Master the tidyverse - session 4: data types,53,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:36 pm GMT,155.0 mins,4%,4%
Master the tidyverse - session 4: data types,14,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:35 pm GMT,4:32 pm GMT,116.0 mins,1%,2%
Master the tidyverse - session 4: data types,94,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:03 pm GMT,60.0 mins,20%,55%
Master the tidyverse - session 4: data types,85,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:08 pm GMT,2:40 pm GMT,32.0 mins,1%,3%
Master the tidyverse - session 4: data types,26,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:32 pm GMT,150.0 mins,15%,17%
Master the tidyverse - session 4: data types,59,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:05 pm GMT,3:15 pm GMT,9.0 mins,5%,100%
Master the tidyverse - session 4: data types,119,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:32 pm GMT,149.0 mins,49%,55%
Master the tidyverse - session 4: data types,47,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:48 pm GMT,4:36 pm GMT,107.0 mins,19%,30%
Master the tidyverse - session 4: data types,106,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:14 pm GMT,4:33 pm GMT,138.0 mins,33%,40%
