Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 1: introduction and ggplot2,232,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Panelist,Yes,No,Yes,2:00 pm GMT,4:42 pm GMT,162.0 mins,82%,100%
Master the tidyverse - session 1: introduction and ggplot2,94,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Panelist,Yes,No,Yes,1:59 pm GMT,4:30 pm GMT,151.0 mins,77%,100%
Master the tidyverse - session 1: introduction and ggplot2,136,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Panelist,Yes,No,Yes,2:59 pm GMT,4:44 pm GMT,105.0 mins,53%,100%
Master the tidyverse - session 1: introduction and ggplot2,136,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Panelist,Yes,No,Yes,2:52 pm GMT,2:58 pm GMT,6.0 mins,1%,22%
Master the tidyverse - session 1: introduction and ggplot2,9,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Panelist,Yes,No,Yes,2:00 pm GMT,4:58 pm GMT,177.0 mins,90%,100%
Master the tidyverse - session 1: introduction and ggplot2,1,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:32 pm GMT,148.0 mins,7%,9%
Master the tidyverse - session 1: introduction and ggplot2,62,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:07 pm GMT,2:07 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 1: introduction and ggplot2,52,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:34 pm GMT,152.0 mins,43%,55%
Master the tidyverse - session 1: introduction and ggplot2,11,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:05 pm GMT,2:26 pm GMT,21.0 mins,7%,62%
Master the tidyverse - session 1: introduction and ggplot2,112,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:13 pm GMT,4:33 pm GMT,140.0 mins,6%,8%
Master the tidyverse - session 1: introduction and ggplot2,112,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:12 pm GMT,2:16 pm GMT,3.0 mins,0%,0%
Master the tidyverse - session 1: introduction and ggplot2,245,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,4:04 pm GMT,4:39 pm GMT,35.0 mins,12%,69%
Master the tidyverse - session 1: introduction and ggplot2,245,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,3:11 pm GMT,3:57 pm GMT,46.0 mins,19%,80%
Master the tidyverse - session 1: introduction and ggplot2,245,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:58 pm GMT,3:05 pm GMT,66.0 mins,30%,90%
Master the tidyverse - session 1: introduction and ggplot2,90,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,149.0 mins,72%,95%
Master the tidyverse - session 1: introduction and ggplot2,106,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:32 pm GMT,153.0 mins,15%,20%
Master the tidyverse - session 1: introduction and ggplot2,212,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:58 pm GMT,3:33 pm GMT,35.0 mins,1%,8%
Master the tidyverse - session 1: introduction and ggplot2,12,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:58 pm GMT,176.0 mins,21%,24%
